İl Adı,Gümrük Adı,Recep Tayyip Erdoğan,Muharrem İnce,Kemal Kılıçdaroğlu,Sinan Oğan
İzmir,Adnan Menderes Havalimanı Gümrük Kapısı,5461,159,7323,281
Şanlıurfa,Akçakale Karayolu Gümrük Kapısı,4328,493,786,741
Ardahan,Aktaş Karayolu Gümrük Kapısı,3,0,13,0
Antalya,Antalya Havalimanı Gümrük Kapısı,7101,226,4745,331
Balıkesir,Ayvalık Limanı Gümrük Kapısı,343,4,903,16
Muğla,Bodrum Limanı Gümrük Kapısı,22,0,304,3
Muğla,Bodrum-Milas Havalimanı Gümrük Kapısı,195,14,633,10
Hatay,Clivegözü Gümrük Kapısı,4623,611,1049,1077
Denizli,Çardak Havalimanı Gümrük Kapısı,558,8,223,17
İzmir,Çeşme Deniz Limanı Gümrük Kapısı,42,1,275,7
Kilis,Çobanbey Karayolu Gümrük Kapısı,1865,318,457,482
Muğla,Dalaman Havalimanı Gümrük Kapısı,495,46,904,45
Kırklareli,Dereköy Karayolu Gümrük Kapısı,105,3,140,8
Kocaeli,Derince Limanı Gümrük Kapısı,445,4,112,14
Diyarbakır,Diyarbakır Havalimanı Gümrük Kapısı,156,7,328,17
Ağrı,Doğubeyazıt Gürbulak Gümrük Kapısı,21,0,13,5
Elazığ,Elazığ Havalimanı Gümrük Kapısı,481,7,576,10
Kayseri,Erkilet Havalimanı Gümrük Kapısı,4529,34,826,138
Ankara,Esenboğa Havalimanı Gümrük Kapısı,5369,107,3875,293
Gaziantep,Gaziantep Havalimanı Gümrük Kapısı,1107,31,1275,40
Şırnak,Habur Karayolu Gümrük Kapısı,2103,290,459,539
Edirne,Hamzabeyli Karayolu Gümrük Kapısı,169,10,159,7
Eskişehir,Hasan Polatkan Gümrük Kapısı,1190,17,374,27
Edirne,İpsala Karayolu Gümrük Kapısı,345,16,522,24
İstanbul,İstanbul Havalimanı Gümrük Kapısı,8001,152,9511,417
Van,Kapıköy Karayolu Gümrük Kapısı,11,0,9,0
Edirne,Kapıkule Karayolu Gümrük Kapısı,3693,77,2008,121
Gaziantep,Karkamış Karayolu Gümrük Kapısı,198,26,45,47
Kilis,Kilis Öncüpınar Gümrük Kapısı,1213,156,242,296
Konya,Konya Havalimanı Gümrük Kapısı,1835,13,315,28
Hatay,Kumlu Karayolu Gümrük Kapısı,528,97,114,94
Aydın,Kuşadası Limanı Gümrük Kapısı,314,10,1009,15
Mersin,Mersin Liman Gümrük Kapısı,143,4,361,10
Edirne,Pazarkule Karayolu Geçici Gümrük Kapısı,3693,77,2008,121
İstanbul,Sabiha Gökçen Havalimanı Gümrük Kapısı,14437,308,12383,640
Samsun,Samsun Çarşamba Havalimanı Gümrük Kapısı,2127,28,595,36
Samsun,Samsun Limanı Gümrük Kapısı,262,3,128,19
Artvin,Sarp Karayolu Gümrük Kapısı,177,5,114,10
Isparta,Süleyman Demirel Havalimanı Gümrük Kapısı,179,4,86,8
Adana,Şakirpaşa Havalimanı Gümrük Kapısı,1372,65,1963,96
Mersin,Taşucu Limanı Gümrük Kapısı,229,4,237,12
Trabzon,Trabzon Havalimanı Gümrük Kapısı,1705,16,265,31
Ardahan,Türkgözü Karayolu Gümrük Kapısı,10,0,3,0
Hakkari,Üzümlü Karayolu Gümrük Kapısı,931,99,204,245
Hakkari,Yüksekova Esendere Gümrük Kapısı,447,69,127,131
Zonguldak,Zonguldak Çaycuma Havalimanı Gümrük Kapısı,1699,12,325,20