İl Adı,Recep Tayyip Erdoğan,Muharrem İnce,Kemal Kılıçdaroğlu,Sinan Oğan
Adana,610132,5110,706780,66903
Adıyaman,211389,1203,99771,6963
Afyonkarahisar,301941,2642,136507,31711
Ağrı,68468,873,142021,4489
Aksaray,180181,1077,56425,14208
Amasya,130248,907,88091,12301
Ankara,1772846,11143,1824023,246395
Antalya,667719,9883,890202,107849
Ardahan,21355,267,30619,2293
Artvin,54620,601,53371,5958
Aydın,294124,5258,432886,40130
Balıkesir,399145,5996,431014,49463
Bartın,74428,1288,48409,8534
Batman,101386,936,221356,3941
Bayburt,38757,89,7594,2710
Bilecik,75103,1098,62120,12232
Bingöl,94412,564,47195,2898
Bitlis,80997,688,88779,3928
Bolu,128951,1262,65720,15893
Burdur,93090,1493,73601,11832
Bursa,1089522,9645,859736,157840
Çanakkale,155165,2751,214450,20511
Çankırı,88908,576,25065,8702
Çorum,218807,1414,117373,16822
Denizli,312634,4738,344527,50509
Diyarbakır,239837,2815,651775,11391
Düzce,182976,1051,66447,16274
Edirne,91025,1673,179873,10875
Elazığ,242098,1003,101764,15531
Erzincan,89811,279,54049,7307
Erzurum,295655,1228,105892,28301
Eskişehir,257707,2995,310550,45076
Gaziantep,684051,4717,396591,59238
Giresun,183750,1660,99079,16506
Gümüşhane,58267,249,15598,4183
Hakkari,37188,458,109148,4139
Hatay,418228,2747,418709,31118
Iğdır,26056,284,64369,12304
Isparta,154331,1839,109962,21530
İstanbul,4738748,25631,4928772,457564
İzmir,964470,13744,1939651,145808
Kahramanmaraş,453535,2655,140066,34729
Karabük,94396,1030,50937,12564
Karaman,100850,1053,49647,13026
Kars,56366,688,78105,7956
Kastamonu,165570,1911,67390,18090
Kayseri,582088,3294,252613,81125
Kırıkkale,105648,754,58598,12083
Kırklareli,79824,1243,170348,10575
Kırşehir,80871,589,57984,10003
Kilis,55451,526,22853,5763
Kocaeli,740509,5046,528534,90407
Konya,983270,5544,341123,96333
Kütahya,256211,2441,101948,25764
Malatya,296188,1050,115695,13906
Manisa,468849,6501,458205,60884
Mardin,141234,1038,289109,5959
Mersin,455498,4930,693167,58662
Muğla,225948,4767,448925,34037
Muş,72102,557,108519,3120
Nevşehir,125889,773,61350,12195
Niğde,130421,1162,77875,13541
Ordu,312502,2959,163148,24164
Osmaniye,206929,1784,102070,21286
Rize,169230,803,51211,11234
Sakarya,457175,3069,196777,49076
Samsun,555696,4215,281961,54166
Siirt,67465,604,91352,2960
Sinop,85405,1146,51751,7650
Sivas,280294,978,97940,24659
Şanlıurfa,606584,3073,353063,15576
Şırnak,57228,736,202543,6509
Tekirdağ,298503,3769,424099,38539
Tokat,246880,1307,122560,19949
Trabzon,349217,1957,151475,31981
Tunceli,9178,72,45457,1933
Uşak,118509,1794,112365,16307
Van,191106,1887,334192,9554
Yalova,83608,1113,79547,10870
Yozgat,185629,903,54485,14333
Zonguldak,205720,2874,164898,22985