Ülke Adı,Recep Tayyip Erdoğan,Muharrem İnce,Kemal Kılıçdaroğlu,Sinan Oğan
Almanya Federal Cumhuriyeti,475593,5086,236127,9348
Amerika Birleşik Devletleri,8364,716,41523,1037
Arnavutluk Cumhuriyeti,204,8,393,23
Avustralya,8004,242,10223,299
Avusturya Cumhuriyeti,44455,418,15997,906
Azerbaycan Cumhuriyeti,3263,148,2768,424
Bahreyn Krallığı,217,5,652,21
Belarus Cumhuriyeti,63,8,174,11
Belçika Krallığı,61435,751,20943,1827
Birleşik Arap Emirlikleri,2229,96,4933,152
Bosna Hersek,669,40,632,116
Brezilya Federatif Cumhuriyeti,40,4,122,6
Bulgaristan Cumhuriyeti,475,54,1352,74
Büyük Britanya ve Kuzey İrlanda Birleşik Krallığı,11619,890,50318,831
Cezayir Demokratik Halk Cumhuriyeti,518,6,392,32
Çek Cumhuriyeti,155,33,1756,68
Çin Halk Cumhuriyeti,255,15,734,55
Danimarka Krallığı,9030,103,6156,220
Estonya Cumhuriyeti,25,10,605,21
Fas Krallığı,163,2,111,9
Finlandiya Cumhuriyeti,778,36,2447,96
Fransa Cumhuriyeti,126572,979,65733,2159
Güney Afrika Cumhuriyeti,162,5,485,22
Gürcistan Cumhuriyeti,315,12,639,39
Hollanda Krallığı,98265,1091,41436,2855
Irak Cumhuriyeti,827,12,592,69
İran İslam Cumhuriyeti,229,5,187,13
İrlanda Cumhuriyeti,353,73,4069,196
İspanya Krallığı,565,23,2882,42
İsrail Devleti,250,8,629,113
İsveç Krallığı,5993,109,7244,207
İsviçre Federasyonu,24045,423,34337,811
İtalya Cumhuriyeti,2424,95,7474,128
Japonya,966,58,1800,94
Kanada,3791,236,17106,343
Karadağ,138,31,850,48
Katar Devleti,4138,103,2261,194
Kazakistan Cumhuriyeti,980,44,1122,128
Kırgız Cumhuriyeti,1032,18,429,100
Kore Cumhuriyeti,91,14,398,24
Kosova Cumhuriyeti,517,22,454,67
Kuveyt Devleti,2007,15,1015,43
Kuzey Kıbrıs Türk Cumhuriyeti,32295,2813,43842,3001
Kuzey Makedonya Cumhuriyeti,681,51,916,106
Libya Devleti,1157,91,541,294
Litvanya Cumhuriyeti,68,16,469,27
Lübnan Cumhuriyeti,2805,10,118,6
Lüksemburg Büyük Dükalığı,9137,66,6004,229
Macaristan,496,37,1745,121
Malezya,195,2,172,14
Malta Cumhuriyeti,345,33,1189,59
Mısır Arap Cumhuriyeti,618,4,177,12
Moldova Cumhuriyeti,150,10,205,8
Nijerya Federal Cumhuriyeti,38,1,42,5
Norveç Krallığı,2610,66,2210,90
Özbekistan Cumhuriyeti,929,22,722,93
Pakistan İslam Cumhuriyeti,261,6,102,17
Polonya Cumhuriyeti,436,91,4317,218
Portekiz Cumhuriyeti,38,13,785,23
Romanya,1696,65,2591,133
Rusya Federasyonu,1817,146,2650,209
Sırbistan Cumhuriyeti,565,19,600,60
Singapur Cumhuriyeti,61,6,492,14
Slovak Cumhuriyeti,58,7,302,17
Suudi Arabistan Krallığı,7304,28,2543,47
Tanzanya Birleşik Cumhuriyeti,151,5,163,18
Tayland Krallığı,63,13,381,20
Türkmenistan,151,6,171,19
Ukrayna,131,8,220,12
Umman Sultanlığı,198,10,420,15
Ürdün Haşimi Krallığı,1218,6,140,10
Yeni Zelanda,44,3,265,3
Yunanistan Cumhuriyeti,250,58,1117,47