İl Adı,Recep Tayyip Erdoğan,Kemal Kılıçdaroğlu
Adana,621003,730274
Adıyaman,216491,97982
Afyonkarahisar,312452,148136
Ağrı,68790,129693
Aksaray,185625,60611
Amasya,134428,92811
Ankara,1817800,1909750
Antalya,689175,926707
Ardahan,22497,30657
Artvin,57308,55833
Aydın,301709,449559
Balıkesir,412724,450800
Bartın,77963,51971
Batman,100177,213499
Bayburt,39731,8455
Bilecik,78219,68057
Bingöl,95730,44885
Bitlis,82224,82926
Bolu,133671,73029
Burdur,97956,77496
Bursa,1118511,927775
Çanakkale,160736,222754
Çankırı,92593,28040
Çorum,225583,122664
Denizli,326035,367447
Diyarbakır,242074,611981
Düzce,187783,73278
Edirne,91786,185592
Elazığ,244904,103608
Erzincan,92243,56412
Erzurum,306495,110195
Eskişehir,266063,330595
Gaziantep,697293,414419
Giresun,190440,103960
Gümüşhane,60401,16505
Hakkari,39754,102784
Hatay,430651,428258
Iğdır,31501,63326
Isparta,160927,118138
İstanbul,4768657,5121197
İzmir,978326,1998375
Kahramanmaraş,469039,150013
Karabük,98521,56084
Karaman,105317,54533
Kars,59057,76383
Kastamonu,172280,74804
Kayseri,604796,286001
Kırıkkale,108346,61710
Kırklareli,80875,175251
Kırşehir,82464,61401
Kilis,57337,24580
Kocaeli,754914,569245
Konya,1008416,373100
Kütahya,266424,110993
Malatya,302280,117804
Manisa,485425,481623
Mardin,146215,274419
Mersin,467668,709409
Muğla,232111,461644
Muş,72704,101792
Nevşehir,129867,65310
Niğde,133950,81941
Ordu,320120,170786
Osmaniye,212942,108743
Rize,173248,55145
Sakarya,469765,216128
Samsun,569954,302545
Siirt,69113,85992
Sinop,89454,55184
Sivas,288136,106082
Şanlıurfa,610116,330565
Şırnak,60133,193639
Tekirdağ,302233,440815
Tokat,255247,129769
Trabzon,358915,162056
Tunceli,9778,47112
Uşak,123777,118815
Van,193036,308421
Yalova,85212,83799
Yozgat,190924,59098
Zonguldak,211991,174859