Ülke Adı,Recep Tayyip Erdoğan,Kemal Kılıçdaroğlu
Almanya Federal Cumhuriyeti,509302,248329
Amerika Birleşik Devletleri,9655,46053
Arnavutluk Cumhuriyeti,228,437
Avustralya,9152,11879
Avusturya Cumhuriyeti,49820,17640
Azerbaycan Cumhuriyeti,3531,2898
Bahreyn Krallığı,303,760
Belarus Cumhuriyeti,67,195
Belçika Krallığı,68139,23083
Birleşik Arap Emirlikleri,2842,5213
Bosna Hersek,764,727
Brezilya Federatif Cumhuriyeti,47,138
Bulgaristan Cumhuriyeti,542,1427
Büyük Britanya ve Kuzey İrlanda Birleşik Krallığı,13315,54535
Cezayir Demokratik Halk Cumhuriyeti,576,401
Çek Cumhuriyeti,218,1816
Çin Halk Cumhuriyeti,265,681
Danimarka Krallığı,10199,6234
Estonya Cumhuriyeti,34,549
Fas Krallığı,181,128
Finlandiya Cumhuriyeti,847,2360
Fransa Cumhuriyeti,137624,68488
Güney Afrika Cumhuriyeti,190,515
Gürcistan Cumhuriyeti,339,678
Hollanda Krallığı,112927,47056
Irak Cumhuriyeti,864,615
İran İslam Cumhuriyeti,227,185
İrlanda Cumhuriyeti,413,4304
İspanya Krallığı,1287,3167
İsrail Devleti,292,834
İsveç Krallığı,6662,7507
İsviçre Konfederasyonu,28319,37604
İtalya Cumhuriyeti,2773,7702
Japonya,1099,1910
Kanada,4397,18545
Karadağ,144,840
Katar Devleti,4549,2386
Kazakistan Cumhuriyeti,1098,1198
Kırgız Cumhuriyeti,1084,495
Kore Cumhuriyeti,103,435
Kosova Cumhuriyeti,578,501
Kuveyt Devleti,2113,1126
Kuzey Kıbrıs Türk Cumhuriyeti,35455,48602
Kuzey Makedonya Cumhuriyeti,761,916
Libya Devleti,1492,759
Litvanya Cumhuriyeti,68,554
Lübnan Cumhuriyeti,3135,151
Lüksemburg Büyük Dükalığı,9821,6406
Macaristan,547,1825
Malezya,233,175
Malta Cumhuriyeti,368,1225
Mısır Arap Cumhuriyeti,771,210
Moldova Cumhuriyeti,150,200
Nijerya Federal Cumhuriyeti,40,59
Norveç Krallığı,3187,2646
Özbekistan Cumhuriyeti,1002,739
Pakistan İslam Cumhuriyeti,306,108
Polonya Cumhuriyeti,460,4319
Portekiz Cumhuriyeti,45,836
Romanya,1843,2727
Rusya Federasyonu,2064,2675
Sırbistan Cumhuriyeti,571,615
Singapur Cumhuriyeti,62,489
Slovak Cumhuriyeti,85,334
Suudi Arabistan Krallığı,7380,3743
Tanzanya Birleşik Cumhuriyeti,167,164
Tayland Krallığı,85,375
Türkmenistan,160,175
Ukrayna,142,225
Umman Sultanlığı,219,454
Ürdün Haşimi Krallığı,1435,153
Yeni Zelanda,40,246
Yunanistan Cumhuriyeti,291,1286